identifier,birth_place,native_language,other_languages,age,sex,age_of_english_onset,english_learning_method,english_residence,length_of_english_residence,mp3_name
english109,"concord, new hampshire, usa",english,irish,26.0,female,0.0,naturalistic,usa,26 years,english109.mp3
english110,"great yarmouth, norfolk, uk",english,japanese,21.0,male,0.0,naturalistic,uk,0 years,english110.mp3
english111,"bombay, india",english,hindi-urdu french,21.0,male,0.0,naturalistic,"india, usa",4 years,english111.mp3
english112,"st. thomas, us virgin islands",english,french,21.0,male,0.0,naturalistic,us virgin islands,21 years,english112.mp3
english113,"wrexham, wales, uk",english,french welsh,31.0,male,0.0,naturalistic,"wales, australia",31 years,english113.mp3
english114,"birmingham 2, alabama, usa",english,none,38.0,female,0.0,naturalistic,usa,38 years,english114.mp3
english115,"st. albans, hertfordshire, uk",english,none,31.0,male,0.0,naturalistic,uk,31 years,english115.mp3
english116,"atlanta, georgia, usa",english,none,56.0,male,0.0,naturalistic,usa,56 years,english116.mp3
english117,"elmore, alabama, usa",english,none,60.0,female,0.0,naturalistic,usa,60 years,english117.mp3
english118,"akron, ohio, usa",english,none,19.0,male,0.0,naturalistic,usa,17 years,english118.mp3
english119,"saskatoon, saskatchewan, canada",english,none,32.0,female,0.0,naturalistic,canada,32 years,english119.mp3
english120,"saskatoon, saskatchewan, canada",english,german,65.0,male,0.0,naturalistic,canada,65 years,english120.mp3
english121,"waconia, minnesota, usa",english,french,21.0,male,0.0,naturalistic,usa,21 years,english121.mp3
english122,"kuala lumpur, malaysia",english,mandarin japanese,20.0,female,0.0,naturalistic,"singapore,usa",13 years,english122.mp3
english123,"riverside, california, usa",english,none,28.0,female,0.0,naturalistic,"usa, uk",23 years,english123.mp3
english124,"brooklyn, new york, usa",english,none,38.0,male,0.0,naturalistic,usa,38 years,english124.mp3
english125,"st. george, queensland, australia",english,none,28.0,male,0.0,naturalistic,australia,28 years,english125.mp3
english126,"cincinnati, ohio, usa",english,spanish,34.0,female,0.0,naturalistic,usa,34 years,english126.mp3
english127,"new britain, connecticut, usa",english,none,39.0,male,0.0,naturalistic,usa,39 years,english127.mp3
english128,"miami, florida, usa",english,french,20.0,female,0.0,naturalistic,usa,20 years,english128.mp3
english129,"blackpool, lancashire, uk",english,korean indonesian polish french,25.0,male,0.0,naturalistic,"uk, australia",25 years,english129.mp3
english130,"port elizabeth, south africa",english,afrikaans,32.0,male,0.0,naturalistic,south africa,32 years,english130.mp3
english131,"west palm beach, florida, usa",english,none,23.0,male,0.0,naturalistic,usa,23 years,english131.mp3
english132,"toronto, ontario, canada",english,none,18.0,female,0.0,naturalistic,canada,18 years,english132.mp3
english133,"norwich, new york, usa",english,spanish,36.0,female,0.0,naturalistic,usa,36 years,english133.mp3
english134,"belfast, northern ireland, uk",english,french,22.0,female,0.0,naturalistic,uk,22 years,english134.mp3
english135,"orange beach, alabama, usa",english,none,22.0,male,0.0,naturalistic,usa,22 years,english135.mp3
english136,"calgary, alberta, canada",english,none,25.0,male,0.0,naturalistic,canada,25 years,english136.mp3
english137,"charleston, west virginia, usa",english,japanese,26.0,male,0.0,naturalistic,usa,26 years,english137.mp3
english138,"palmer, alaska, usa",english,german,25.0,female,0.0,naturalistic,usa,25 years,english138.mp3
english139,"providence, rhode island, usa",english,none,20.0,male,0.0,naturalistic,usa,20 years,english139.mp3
english140,"quezon city, philippines",english,tagalog,43.0,male,0.0,naturalistic,"philippines,canada",43 years,english140.mp3
english141,"york, uk",english,french german,19.0,male,0.0,naturalistic,uk,19 years,english141.mp3
english142,"avon, new york, usa",english,french,19.0,male,0.0,naturalistic,usa,19 years,english142.mp3
english143,"minneapolis, minnesota, usa",english,french,42.0,male,0.0,naturalistic,"usa, uk",42 years,english143.mp3
english144,"barneys river, nova scotia, canada",english,spanish,24.0,male,0.0,naturalistic,canada,24 years,english144.mp3
english145,"bury st. edmunds, uk",english,none,18.0,male,0.0,naturalistic,uk,13 years,english145.mp3
english146,"blytheville, arkansas, usa",english,spanish,22.0,male,0.0,naturalistic,usa,22 years,english146.mp3
english147,"merced, california, usa",english,portuguese,40.0,female,0.0,naturalistic,usa,40 years,english147.mp3
english148,"sydney, australia",english,none,31.0,male,0.0,naturalistic,australia,31 years,english148.mp3
english149,"lawrenceville, georgia, usa",english,none,18.0,male,0.0,naturalistic,usa,18 years,english149.mp3
english150,"brownsville, kentucky, usa",english,spanish,31.0,male,0.0,naturalistic,usa,31 years,english150.mp3
english151,"baltimore, maryland, usa",english,spanish,18.0,male,0.0,naturalistic,usa,18 years,english151.mp3
english152,"adelaide, australia",english,none,18.0,male,0.0,naturalistic,australia,18 years,english152.mp3
english153,"brisbane, australia",english,none,35.0,male,0.0,naturalistic,australia,35 years,english153.mp3
english154,"glace bay, nova scotia, canada",english,none,28.0,male,0.0,naturalistic,canada,28 years,english154.mp3
english155,"oakland, california, usa",english,none,35.0,male,0.0,naturalistic,usa,35 years,english155.mp3
english156,"dublin, ireland",english,mandarin french irish,33.0,male,0.0,naturalistic,ireland,33 years,english156.mp3
english157,"fort worth, texas, usa",english,none,35.0,male,0.0,naturalistic,usa,35 years,english157.mp3
english158,"washington, district of columbia, usa",english,spanish german,18.0,female,0.0,naturalistic,usa,18 years,english158.mp3
english159,"ottawa, ontario, canada",english,none,18.0,male,0.0,naturalistic,canada,18 years,english159.mp3
english160,"redwood falls, minnesota, usa",english,none,21.0,female,0.0,naturalistic,usa,21 years,english160.mp3
english161,"wakefield, ohio, usa",english,none,75.0,female,0.0,naturalistic,usa,75 years,english161.mp3
english162,"delaware, ohio, usa",english,none,41.0,female,0.0,naturalistic,usa,39 years,english162.mp3
english163,"fairview park, ohio, usa",english,german dutch,41.0,male,0.0,naturalistic,usa,39 years,english163.mp3
english164,"leeds, uk",english,none,38.0,male,0.0,naturalistic,uk,38 years,english164.mp3
english165,"detroit, michigan, usa",english,french spanish german,43.0,female,0.0,naturalistic,usa,43 years,english165.mp3
english166,"glenside, pennsylvania, usa",english,spanish,18.0,male,0.0,naturalistic,usa,18 years,english166.mp3
english167,"lakeview, michigan, usa",english,spanish,43.0,male,0.0,naturalistic,usa,43 years,english167.mp3
english168,"oceanside, california, usa",english,german,40.0,male,0.0,naturalistic,usa,25 years,english168.mp3
english169,"cleveland, mississippi, usa",english,spanish esperanto,18.0,male,0.0,naturalistic,usa,18 years,english169.mp3
english170,"belmont, mississippi, usa",english,none,50.0,female,0.0,naturalistic,usa,50 years,english170.mp3
english171,"st. louis, missouri, usa",english,french spanish italian,21.0,male,0.0,naturalistic,usa,21 years,english171.mp3
english172,"kingston, jamaica",english,none,49.0,male,0.0,naturalistic,"jamaica, uk",49 years,english172.mp3
english173,"libertyville, illinois, usa",english,none,19.0,male,0.0,naturalistic,usa,19 years,english173.mp3
english174,"kuching, sarawak, malaysia",english,malay chinese,30.0,female,0.0,naturalistic,"australia, singapore",12 years,english174.mp3
english175,"seattle, washington, usa",english,mandarin,24.0,male,0.0,naturalistic,usa,21 years,english175.mp3
english176,"elizabeth city, north carolina, usa",english,spanish french afrikaans,18.0,female,0.0,naturalistic,usa,18 years,english176.mp3
english177,"new orleans, louisiana, usa",english,none,23.0,female,0.0,naturalistic,usa,23 years,english177.mp3
english178,"wilkes-barre, pennsylvania, usa",english,none,30.0,male,0.0,naturalistic,usa,30 years,english178.mp3
english179,"huron, south dakota, usa",english,german russian,57.0,male,0.0,naturalistic,usa,55 years,english179.mp3
english180,"newport, rhode island, usa",english,none,20.0,male,0.0,naturalistic,usa,20 years,english180.mp3
english181,"new eagle, pennsylvania, usa",english,none,68.0,male,0.0,naturalistic,usa,68 years,english181.mp3
english182,"troy, new york, usa",english,italian spanish,50.0,male,0.0,naturalistic,usa,50 years,english182.mp3
english183,"corriverton, guyana",english,hindi,55.0,female,0.0,naturalistic,"guyana, usa",55 years,english183.mp3
english184,"hillsboro, oregon, usa",english,spanish,18.0,female,0.0,naturalistic,usa,18 years,english184.mp3
english185,"oxford, uk",english,spanish,38.0,male,0.0,naturalistic,canada,36 years,english185.mp3
english186,"gadsden, alabama, usa",english,none,39.0,female,0.0,naturalistic,usa,39 years,english186.mp3
english187,"algona, iowa, usa",english,none,42.0,female,0.0,naturalistic,usa,42 years,english187.mp3
english188,"edinburgh, scotland, uk",english,none,35.0,male,0.0,naturalistic,uk,35 years,english188.mp3
english189,"grand forks, north dakota, usa",english,none,19.0,male,0.0,naturalistic,usa,19 years,english189.mp3
english190,"oak park, illinois, usa",english,spanish koine greek,27.0,male,0.0,naturalistic,usa,28 years,english190.mp3
english191,"las cruces, new mexico, usa",english,mandarin russian german,19.0,male,0.0,naturalistic,usa,19 years,english191.mp3
english192,"east lansing, michigan, usa",english,none,27.0,female,0.0,naturalistic,usa,27 years,english192.mp3
english193,"honolulu, hawaii, usa",english,none,32.0,male,0.0,naturalistic,usa,32 years,english193.mp3
english194,"manchester, england, uk",english,none,19.0,male,0.0,naturalistic,uk,19 years,english194.mp3
english195,"delavan, wisconsin, usa",english,french russian german norwegian,21.0,female,0.0,naturalistic,usa,21 years,english195.mp3
english196,"suva, fiji",english,fijian hindi french,50.0,female,0.0,naturalistic,"fiji, usa",50 years,english196.mp3
english197,"iowa city, iowa, usa",english,none,22.0,male,0.0,naturalistic,usa,22 years,english197.mp3
english198,"washington, district of columbia, usa",english,none,56.0,male,0.0,naturalistic,usa,56 years,english198.mp3
english199,"bay shore, new york, usa",english,none,25.0,male,0.0,naturalistic,usa,25 years,english199.mp3
english200,"berkeley, california, usa",english,spanish,22.0,female,0.0,naturalistic,usa,22 years,english200.mp3
english201,"warren, michigan, usa",english,polish,26.0,female,0.0,naturalistic,usa,26 years,english201.mp3
english202,"crisfield, maryland, usa",english,esperanto,19.0,male,0.0,naturalistic,usa,19 years,english202.mp3
english203,"boston, massachusetts, usa",english,german french,63.0,female,0.0,naturalistic,usa,31 years,english203.mp3
english204,"chicago, illinois, usa",english,french german,53.0,male,0.0,naturalistic,usa,49 years,english204.mp3
english205,"blue earth, minnesota, usa",english,none,45.0,female,0.0,naturalistic,usa,45 years,english205.mp3
english206,"hucknall, nottinghamshire, england, uk",english,slovenian,35.0,female,0.0,naturalistic,uk,35 years,english206.mp3
english207,"wilkes-barre, pennsylvania, usa",english,spanish,23.0,female,0.0,naturalistic,usa,23 years,english207.mp3
english208,"washington, dc, usa",english,none,46.0,male,0.0,naturalistic,usa,29 years,english208.mp3
english209,"saint johns, antigua and barbuda",english,antigua and barbuda creole english french,28.0,female,0.0,naturalistic,"antigua and barbuda, usa",28 years,english209.mp3
english210,"trenton, nova scotia, canada",english,french,23.0,female,0.0,naturalistic,canada,23 years,english210.mp3
english211,"worcester, massachusetts, usa",english,none,30.0,male,0.0,naturalistic,usa,30 years,english211.mp3
english212,"spartanburg, south carolina, usa",english,none,24.0,male,0.0,naturalistic,usa,24 years,english212.mp3
english213,"dodge city, kansas, usa",english,none,38.0,male,0.0,naturalistic,usa,38 years,english213.mp3
english214,"myrtle beach, south carolina, usa",english,spanish,26.0,male,0.0,naturalistic,usa,26 years,english214.mp3
english215,"lemington spa, warwickshire, uk",english,spanish italian yiddish,20.0,male,0.0,naturalistic,"uk, ireland, usa",20 years,english215.mp3
english216,"chicago, illinois, usa",english,spanish,48.0,female,0.0,naturalistic,usa,48 years,english216.mp3
english217,"harrow, middlesex, uk",english,french german spanish italian japanese,66.0,male,0.0,naturalistic,"uk, usa",66 years,english217.mp3
english218,"abingdon, virginia, usa",english,latin spanish,27.0,female,0.0,naturalistic,usa,27 years,english218.mp3
english219,"oakland, california, usa",english,spanish,38.0,female,0.0,naturalistic,usa,38 years,english219.mp3
english220,"anaheim, california, usa",english,none,18.0,female,0.0,naturalistic,usa,18 years,english220.mp3
english221,"london, uk",english,yoruba,45.0,male,0.0,naturalistic,"uk, australia, usa",45 years,english221.mp3
english222,"auburn, indiana, usa",english,none,18.0,female,0.0,naturalistic,usa,18 years,english222.mp3
english223,"erie, pennsylvania, usa",english,none,18.0,male,0.0,naturalistic,usa,18 years,english223.mp3
english224,"bridgetown, barbados",english,spanish french,20.0,male,0.0,naturalistic,barbados,20 years,english224.mp3
english225,"dundee, scotland, uk",english,italian,50.0,male,0.0,naturalistic,"scotland, usa",50 years,english225.mp3
english226,"walton-on-thames, surrey, uk",english,none,38.0,male,0.0,naturalistic,"uk, usa",38 years,english226.mp3
english227,"camberley, surrey, uk",english,none,42.0,female,0.0,naturalistic,"uk, usa",42 years,english227.mp3
english228,"glasgow, scotland, uk",english,french german krio,59.0,female,0.0,naturalistic,"scotland, usa, sierra leone",59 years,english228.mp3
english229,"burlington, vermont, usa",english,french,25.0,male,0.0,naturalistic,usa,25 years,english229.mp3
english230,"launceston, tasmania, australia",english,none,35.0,male,0.0,naturalistic,australia,35 years,english230.mp3
english231,"tampa, florida, usa",english,spanish,22.0,male,0.0,naturalistic,usa,22 years,english231.mp3
english232,"metairie, louisiana, usa",english,italian spanish,32.0,female,0.0,naturalistic,usa,32 years,english232.mp3
english233,"edmonton, alberta, canada",english,french,26.0,female,0.0,naturalistic,canada,26 years,english233.mp3
english234,"bloomington, indiana, usa",english,portuguese spanish american sign language,49.0,male,0.0,naturalistic,usa,49 years,english234.mp3
english235,"richmond, virginia, usa",english,spanish,52.0,female,0.0,naturalistic,usa,52 years,english235.mp3
english236,"st. charles, illinois, usa",english,german french,44.0,male,0.0,naturalistic,usa,34 years,english236.mp3
english237,"jeffersonville, ohio, usa",english,spanish,22.0,female,0.0,naturalistic,usa,22 years,english237.mp3
english238,"vancouver, british  columbia, canada",english,german french japanese,21.0,female,0.0,naturalistic,canada,21 years,english238.mp3
english239,"fort kobbe, panama",english,japanese punjabi,19.0,male,0.0,naturalistic,usa,18 years,english239.mp3
english240,"guelph, ontario, canada",english,french,26.0,male,0.0,naturalistic,canada,26 years,english240.mp3
english241,"wanganui, new zealand",english,italian portuguese,52.0,female,0.0,naturalistic,new zealand,29 years,english241.mp3
english242,"laurel, mississippi, usa",english,none,77.0,female,0.0,naturalistic,usa,77 years,english242.mp3
english243,"fredericton, new brunswick, canada",english,french,27.0,male,0.0,naturalistic,canada,27 years,english243.mp3
english244,"san francisco, california, usa",english,spanish,23.0,male,0.0,naturalistic,usa,13 years,english244.mp3
english245,"pittsburgh, pennsylvania, usa",english,japanese spanish,25.0,male,0.0,naturalistic,usa,22 years,english245.mp3
english246,"los angeles, california, usa",english,none,32.0,male,0.0,naturalistic,usa,32 years,english246.mp3
english247,"prince rupert, british columbia, canada",english,japanese,33.0,male,0.0,naturalistic,canada,25 years,english247.mp3
english248,"philadelphia, pennsylvania, usa",english,french,18.0,female,0.0,naturalistic,usa,18 years,english248.mp3
english249,"boston, massachusetts, usa",english,spanish,29.0,female,0.0,naturalistic,usa,29 years,english249.mp3
english250,"chester, england, uk",english,none,19.0,male,0.0,naturalistic,uk,19 years,english250.mp3
english251,"mt. kisco, new york, usa",english,french spanish italian japanese,21.0,male,0.0,naturalistic,usa,21 years,english251.mp3
english252,"san jose ca, california, usa",english,german,25.0,female,0.0,naturalistic,usa,25 years,english252.mp3
english253,"dublin, ireland",english,gaelic french,21.0,male,0.0,naturalistic,ireland,21 years,english253.mp3
english254,"eugene, oregon, usa",english,spanish,39.0,male,0.0,naturalistic,usa,39 years,english254.mp3
english255,"oamaru, new zealand",english,cantonese japanese,24.0,female,0.0,naturalistic,new zealand,24 years,english255.mp3
english256,"laurinburg, north carolina, usa",english,none,23.0,male,0.0,naturalistic,usa,23 years,english256.mp3
english257,"san diego, california, usa",english,none,24.0,male,0.0,naturalistic,usa,24 years,english257.mp3
english258,"kilkenny, ireland",english,irish french german dutch spanish,24.0,male,0.0,naturalistic,ireland,23 years,english258.mp3
english259,"singapore, singapore",english,mandarin cantonese hokkien,23.0,male,0.0,naturalistic,singapore,23 years,english259.mp3
english260,"phoenix, arizona, usa",english,none,18.0,female,0.0,naturalistic,usa,18 years,english260.mp3
english261,"forestville, maryland, usa",english,spanish,59.0,female,0.0,naturalistic,usa,59 years,english261.mp3
english262,"naylor, maryland, usa",english,german,60.0,male,0.0,naturalistic,usa,60 years,english262.mp3
english263,"oak forest, illinois, usa",english,spanish,21.0,male,0.0,naturalistic,usa,21 years,english263.mp3
english264,"freemont, california, usa",english,french german,21.0,male,0.0,naturalistic,usa,21 years,english264.mp3
english265,"vancouver wa, washington, usa",english,korean german,31.0,male,0.0,naturalistic,usa,27 years,english265.mp3
english266,"san diego, california, usa",english,french spanish,18.0,male,0.0,,usa,18 years,english266.mp3
english267,"leeds, uk",english,french,66.0,male,0.0,naturalistic,uk,66 years,english267.mp3
english268,"leeds, uk",english,french german,67.0,female,0.0,naturalistic,uk,67 years,english268.mp3
english269,"adelaide, australia",english,french,22.0,female,0.0,naturalistic,"australia, uk, usa",22 years,english269.mp3
english270,"cape town, south africa",english,afrikaans french,29.0,male,0.0,naturalistic,south africa,29 years,english270.mp3
english271,"cape town, south africa",english,afrikaans french,32.0,female,0.0,naturalistic,south africa,32 years,english271.mp3
english272,"dallas, texas, usa",english,spanish,20.0,male,0.0,naturalistic,usa,20 years,english272.mp3
english273,"blue bell, pennsylvania, usa",english,german,46.0,male,0.0,naturalistic,usa,46 years,english273.mp3
english274,"sydney, australia",english,hokkien mandarin,25.0,female,0.0,naturalistic,australia,25 years,english274.mp3
english275,"clifton, new jersey, usa",english,none,20.0,female,0.0,naturalistic,usa,20 years,english275.mp3
english276,"chattanooga, tennessee, usa",english,none,50.0,female,0.0,naturalistic,usa,50 years,english276.mp3
english277,"hudson, new york, usa",english,german,48.0,female,0.0,naturalistic,usa,42 years,english277.mp3
english278,"augusta, georgia, usa",english,none,18.0,female,0.0,naturalistic,usa,18 years,english278.mp3
english279,"singapore, singapore",english,mandarin hainanese,30.0,female,0.0,naturalistic,singapore,30 years,english279.mp3
english280,"ramsey, isle of man",english,none,19.0,female,0.0,naturalistic,isle of man,19 years,english280.mp3
english281,"ramsey mn, minnesota, usa",english,french,23.0,male,0.0,naturalistic,usa,23 years,english281.mp3
english282,"tampa, florida, usa",english,none,20.0,male,0.0,naturalistic,usa,20 years,english282.mp3
english283,"pelham, new york, usa",english,spanish,18.0,male,0.0,naturalistic,usa,18 years,english283.mp3
english284,"gainesville, florida, usa",english,spanish,33.0,male,0.0,naturalistic,usa,33 years,english284.mp3
english285,"melbourne, australia",english,none,50.0,male,0.0,naturalistic,"australia, hong kong, usa",50 years,english285.mp3
english286,"beaumont, texas, usa",english,french latin hebrew spanish,21.0,female,0.0,naturalistic,usa,21 years,english286.mp3
english287,"singapore, singapore",english,cantonese mandarin japanese,27.0,female,0.0,naturalistic,singapore,27 years,english287.mp3
english288,"st. louis, missouri, usa",english,none,26.0,female,0.0,naturalistic,usa,26 years,english288.mp3
english289,"fairfax, virginia, usa",english,italian spanish latin french,19.0,female,0.0,naturalistic,usa,19 years,english289.mp3
english290,"duluth, georgia, usa",english,none,20.0,male,0.0,naturalistic,usa,20 years,english290.mp3
english291,"belize city, belize",english,spanish creole dutch,18.0,male,0.0,naturalistic,"belize, usa",18 years,english291.mp3
english292,"kansas city, missouri, usa",english,none,38.0,male,0.0,naturalistic,usa,38 years,english292.mp3
english293,"billings, montana, usa",english,none,22.0,female,0.0,naturalistic,usa,22 years,english293.mp3
english294,"naracoorte, australia",english,indonesian french,19.0,female,0.0,naturalistic,"australia, usa",19 years,english294.mp3
english295,"airdrie, alberta, canada",english,french german italian,25.0,male,0.0,naturalistic,canada,25 years,english295.mp3
english296,"edmonton, alberta, canada",english,french,18.0,female,0.0,naturalistic,canada,18 years,english296.mp3
english297,"lindenhurst, new york, usa",english,german,19.0,male,0.0,naturalistic,usa,19 years,english297.mp3
english298,"lismore, new south wales, australia",english,none,22.0,male,0.0,naturalistic,australia,22 years,english298.mp3
english299,"windsor, ontario, canada",english,japanese,59.0,male,0.0,naturalistic,usa,59 years,english299.mp3
english300,"dublin, ireland",english,irish,18.0,male,0.0,naturalistic,ireland,18 years,english300.mp3
english301,"toronto, ontario, canada",english,none,41.0,male,0.0,naturalistic,canada,41 years,english301.mp3
english302,"melbourne, australia",english,finnish,22.0,male,0.0,naturalistic,australia,22 years,english302.mp3
english303,"anaheim, california, usa",english,arabic,45.0,female,0.0,naturalistic,usa,45 years,english303.mp3
english304,"clare, ireland",english,irish french,20.0,female,0.0,naturalistic,ireland,20 years,english304.mp3
english305,"la paz, bolivia",english,arabic spanish,24.0,female,0.0,naturalistic,"uk, usa",7 years,english305.mp3
english306,"london, uk",english,none,24.0,female,0.0,naturalistic,"uk, usa",24 years,english306.mp3
english307,"alexandria, va, usa",english,spanish,48.0,male,0.0,naturalistic,"usa, new zealand",48 years,english307.mp3
english308,"cardiff, wales, uk",english,welsh,34.0,male,0.0,naturalistic,"uk, new zealand",34 years,english308.mp3
english309,"dunedin, new zealand",english,german french maori japanese,44.0,female,0.0,naturalistic,new zealand,44 years,english309.mp3
english310,"oxford, uk",english,punjabi,37.0,female,0.0,naturalistic,"uk, usa",22 years,english310.mp3
english311,"detroit, michigan, usa",english,none,38.0,female,0.0,naturalistic,usa,38 years,english311.mp3
english312,"edmonton, alberta, canada",english,french,40.0,female,0.0,naturalistic,canada,40 years,english312.mp3
english313,"silver spring, maryland, usa",english,spanish,28.0,male,0.0,naturalistic,usa,28 years,english313.mp3
english314,"memphis, tennessee, usa",english,french,26.0,female,0.0,naturalistic,usa,26 years,english314.mp3
english315,"los angeles, california, usa",english,none,25.0,male,0.0,naturalistic,usa,25 years,english315.mp3
english316,"sacramento, california, usa",english,none,33.0,male,0.0,naturalistic,usa,33 years,english316.mp3
english317,"burlington, vermont, usa",english,none,26.0,male,0.0,naturalistic,usa,26 years,english317.mp3
english318,"sarnia, ontario, canada",english,none,46.0,male,0.0,naturalistic,canada,46 years,english318.mp3
english319,"grimsby, lincolnshire, uk",english,none,29.0,male,0.0,naturalistic,uk,29 years,english319.mp3
english320,"maryland county, liberia",english,grebo,59.0,female,0.0,naturalistic,"liberia, usa",59 years,english320.mp3
english321,"brooklyn, new york, usa",english,yiddish french hebrew,52.0,male,0.0,naturalistic,usa,52 years,english321.mp3
english322,"yorkton, saskatchewan, canada",english,none,29.0,male,0.0,naturalistic,canada,29 years,english322.mp3
english323,"regina, saskatchewan, canada",english,none,31.0,female,0.0,naturalistic,canada,31 years,english323.mp3
english324,"st. marys, ontario, canada",english,french,28.0,male,0.0,naturalistic,canada,28 years,english324.mp3
english325,"reading, pennsylvania, usa",english,italian,32.0,male,0.0,naturalistic,usa,32 years,english325.mp3
english326,"fairborn, ohio, usa",english,none,53.0,male,0.0,naturalistic,usa,50 years,english326.mp3
english327,"dunedin, florida, usa",english,none,27.0,male,0.0,naturalistic,usa,27 years,english327.mp3
english328,"hollywood, florida, usa",english,thai,23.0,female,0.0,naturalistic,usa,23 years,english328.mp3
english329,"boise, idaho, usa",english,french,21.0,female,0.0,naturalistic,usa,19 years,english329.mp3
english330,"augusta, georgia, usa",english,french,18.0,female,0.0,naturalistic,usa,18 years,english330.mp3
english331,"perth, australia",english,none,28.0,female,0.0,naturalistic,australia,28 years,english331.mp3
english332,"baltimore, maryland, usa",english,none,20.0,female,0.0,naturalistic,usa,20 years,english332.mp3
english333,"spokane, washington, usa",english,none,32.0,female,0.0,naturalistic,usa,29 years,english333.mp3
english334,"derby, england, uk",english,none,18.0,female,0.0,naturalistic,uk,18 years,english334.mp3
english335,"washington, district of columbia, usa",english,none,6.0,male,0.0,naturalistic,usa,6 years,english335.mp3
english336,"baltimore, maryland, usa",english,none,46.0,female,0.0,naturalistic,usa,44 years,english336.mp3
english337,"jersey city, new jersey, usa",english,none,84.0,female,0.0,naturalistic,"usa, canada",84 years,english337.mp3
english338,"sydney, australia",english,french,53.0,female,0.0,naturalistic,"australia, canada",53 years,english338.mp3
english339,"chicago, illinois, usa",english,none,54.0,male,0.0,naturalistic,"usa, canada",54 years,english339.mp3
english340,"charleston, west virginia, usa",english,none,19.0,male,0.0,naturalistic,usa,19 years,english340.mp3
english341,"new york, new york, usa",english,german,23.0,female,0.0,naturalistic,usa,23 years,english341.mp3
english342,"kansas city, missouri, usa",english,none,33.0,male,0.0,naturalistic,usa,33 years,english342.mp3
english343,"portland, maine, usa",english,german spanish,23.0,male,0.0,naturalistic,usa,23 years,english343.mp3
english344,"lumberton, north carolina, usa",english,french spanish,19.0,female,0.0,naturalistic,usa,19 years,english344.mp3
english345,"kansas city, missouri, usa",english,spanish,20.0,male,0.0,naturalistic,usa,20 years,english345.mp3
english346,"east hartford, connecticut, usa",english,french,60.0,male,0.0,naturalistic,usa,60 years,english346.mp3
english347,"burnsville, minnesota, usa",english,spanish,22.0,female,0.0,naturalistic,usa,22 years,english347.mp3
english348,"las pinas, philippines",english,tagalog,20.0,female,0.0,naturalistic,philippines,20 years,english348.mp3
english349,"warrenton, virginia, usa",english,none,24.0,female,0.0,naturalistic,usa,24 years,english349.mp3
english350,"polesworth, staffordshire, uk",english,none,18.0,female,0.0,naturalistic,uk,18 years,english350.mp3
english351,"carthage, missouri, usa",english,none,37.0,male,0.0,naturalistic,usa,37 years,english351.mp3
english352,"singapore, singapore",english,mandarin hokkien cantonese hainanese,25.0,male,0.0,naturalistic,singapore,25 years,english352.mp3
english353,"saskatoon, saskatchewan, canada",english,french,18.0,male,0.0,naturalistic,canada,18 years,english353.mp3
english354,"christchurch, new zealand",english,maori french german,23.0,female,0.0,naturalistic,"new zealand, ireland, uk, usa",22 years,english354.mp3
english355,"los angeles, california, usa",english,vietnamese,19.0,male,0.0,naturalistic,usa,19 years,english355.mp3
english356,"morden, manitoba, canada",english,none,23.0,female,0.0,naturalistic,canada,23 years,english356.mp3
english357,"alto, georgia, usa",english,german,24.0,male,0.0,naturalistic,usa,24 years,english357.mp3
english358,"fredericton, new brunswick, canada",english,none,19.0,male,0.0,naturalistic,canada,19 years,english358.mp3
english359,"sackville, new brunswick, canada",english,french latin german italian spanish,32.0,male,0.0,naturalistic,"canada, usa",32 years,english359.mp3
english360,"erie, pennsylvania, usa",english,hebrew,19.0,female,0.0,naturalistic,usa,19 years,english360.mp3
english361,"burnsville, minnesota, usa",english,spanish chinese,20.0,female,0.0,naturalistic,usa,20 years,english361.mp3
english362,"cork, ireland",english,irish,21.0,male,0.0,naturalistic,ireland,21 years,english362.mp3
english363,"castle donington, uk",english,none,20.0,male,0.0,naturalistic,uk,20 years,english363.mp3
english364,"sydney, australia",english,french tagalog,28.0,female,0.0,naturalistic,australia,24 years,english364.mp3
english365,"oxford, uk",english,french,52.0,male,0.0,naturalistic,uk,52 years,english365.mp3
english366,"bournesmouth, uk",english,none,25.0,female,0.0,naturalistic,uk,25 years,english366.mp3
english367,"birkenhead, uk",english,french russian,25.0,female,0.0,naturalistic,uk,23 years,english367.mp3
english368,"strattford-on-avon, uk",english,french german,43.0,male,0.0,naturalistic,"uk, singapore",43 years,english368.mp3
english369,"mcminnville, oregon, usa",english,spanish,27.0,male,0.0,naturalistic,usa,27 years,english369.mp3
english370,"pondicherry, india",english,french tamil,22.0,male,0.0,naturalistic,"canada, ireland",16 years,english370.mp3
english371,"colorado springs, colorado, usa",english,french,27.0,female,0.0,naturalistic,"usa, canada",27 years,english371.mp3
english372,"christiansburg, virginia, usa",english,none,80.0,male,0.0,naturalistic,usa,80 years,english372.mp3
english373,"russellville, kentucky, usa",english,none,22.0,male,0.0,naturalistic,usa,22 years,english373.mp3
english374,"milford haven, wales, uk",english,welsh,36.0,male,0.0,naturalistic,uk,36 years,english374.mp3
english375,"manchester, connecticut, usa",english,spanish,28.0,male,0.0,naturalistic,"usa, uk",28 years,english375.mp3
english376,"pasadena, california, usa",english,none,46.0,male,0.0,naturalistic,usa,46 years,english376.mp3
english377,"trenton, michigan, usa",english,none,32.0,female,0.0,naturalistic,usa,32 years,english377.mp3
